WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.845172 -6.211544)",11.0,0.0,Provinsi DKI Jakarta,31.0,1.0,-6.211544,106.845172,1.0
"POINT (107.6177078 -6.9382816)",12.0,0.0,Provinsi Jawa Barat,32.0,1.0,-7.090911,107.668887,1.0
"POINT (110.4071718 -6.9906691)",13.0,0.0,Provinsi Jawa Tengah,33.0,1.0,-7.150975,110.1402594,1.0
"POINT (110.3936145 -7.789924)",14.0,0.0,Provinsi DI Yogyakarta,34.0,1.0,-7.8753849,110.4262088,1.0
"POINT (112.7435431 -7.2605371)",15.0,0.0,Provinsi Jawa Timur,35.0,1.0,-7.5360639,112.2384017,1.0
"POINT (106.0576492 -6.0164513)",16.0,0.0,Provinsi Banten,36.0,1.0,-6.4058172,106.0640179,1.0
"POINT (115.205447 -8.6703021)",17.0,0.0,Provinsi Bali,51.0,1.0,-8.6703021,115.205447,1.0

