WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (116.0872294 -8.5877481)",18.0,0.0,Provinsi Nusa Tenggara Barat,52.0,1.0,-8.5877481,116.0872294,1.0
"POINT (123.5959071 -10.1861552)",19.0,0.0,Provinsi Nusa Tenggara Timur,53.0,1.0,-10.1861552,123.5959071,1.0
"POINT (128.187069 -3.6902744)",30.0,0.0,Provinsi Maluku,81.0,1.0,-3.6902744,128.187069,1.0
"POINT (127.5694613 0.7376289)",31.0,0.0,Provinsi Maluku Utara,82.0,1.0,0.7376289,127.5694613,1.0
"POINT (131.2624075 -0.8802498)",32.0,0.0,Provinsi Papua Barat,91.0,1.0,-0.8802498,131.2624075,1.0
"POINT (140.6690291 -2.6055498)",33.0,0.0,Provinsi Papua,94.0,1.0,-2.6055498,140.6690291,1.0
